Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address[23:0],u_ndpp_wrapper/user_logic_native_mem_strb[31:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_hls[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,300060,00000000,c9,00,01
1,1,0,0,300060,00000000,c9,00,01
2,2,0,0,300060,00000000,c9,00,01
3,3,0,0,300060,00000000,c9,00,01
4,4,0,0,300060,00000000,c9,00,01
5,5,0,0,300060,00000000,c9,00,01
6,6,0,0,300060,00000000,c9,00,01
7,7,0,0,300060,00000000,c9,00,01
8,8,0,0,300060,00000000,c9,00,01
9,9,0,0,300060,00000000,c9,00,01
10,10,0,0,300060,00000000,c9,00,01
11,11,0,0,300060,00000000,c9,00,01
12,12,0,0,300060,00000000,c9,00,01
13,13,0,0,300060,00000000,c9,00,01
14,14,0,0,300060,00000000,c9,00,01
15,15,0,0,300060,00000000,c9,00,01
16,16,0,0,300060,00000000,c9,00,01
17,17,0,0,300060,00000000,c9,00,01
18,18,0,0,300060,00000000,c9,00,01
19,19,0,0,300060,00000000,c9,00,01
20,20,0,0,300060,00000000,c9,00,01
21,21,0,0,300060,00000000,c9,00,01
22,22,0,0,300060,00000000,c9,00,01
23,23,0,0,300060,00000000,c9,00,01
24,24,0,0,300060,00000000,c9,00,01
25,25,0,0,300060,00000000,c9,00,01
26,26,0,0,300060,00000000,c9,00,01
27,27,0,0,300060,00000000,c9,00,01
28,28,0,0,300060,00000000,c9,00,01
29,29,0,0,300060,00000000,c9,00,01
30,30,0,0,300060,00000000,c9,00,01
31,31,0,0,300060,00000000,c9,00,01
32,32,0,0,300060,00000000,c9,00,01
33,33,0,0,300060,00000000,c9,00,01
34,34,0,0,300060,00000000,c9,00,01
35,35,0,0,300060,00000000,c9,00,01
36,36,0,0,300060,00000000,c9,00,01
37,37,0,0,300060,00000000,c9,00,01
38,38,0,0,300060,00000000,c9,00,01
39,39,0,0,300060,00000000,c9,00,01
40,40,0,0,300060,00000000,c9,00,01
41,41,0,0,300060,00000000,c9,00,01
42,42,0,0,300060,00000000,c9,00,01
43,43,0,0,300060,00000000,c9,00,01
44,44,0,0,300060,00000000,c9,00,01
45,45,0,0,300060,00000000,c9,00,01
46,46,0,0,300060,00000000,c9,00,01
47,47,0,0,300060,00000000,c9,00,01
48,48,0,0,300060,00000000,c9,00,01
49,49,0,0,300060,00000000,c9,00,01
50,50,0,0,300060,00000000,c9,00,01
51,51,0,0,300060,00000000,c9,00,01
52,52,0,0,300060,00000000,c9,00,01
53,53,0,0,300060,00000000,c9,00,01
54,54,0,0,300060,00000000,c9,00,01
55,55,0,0,300060,00000000,c9,00,01
56,56,0,0,300060,00000000,c9,00,01
57,57,0,0,300060,00000000,c9,00,01
58,58,0,0,300060,00000000,c9,00,01
59,59,0,0,300060,00000000,c9,00,01
60,60,0,0,300060,00000000,c9,00,01
61,61,0,0,300060,00000000,c9,00,01
62,62,0,0,300060,00000000,c9,00,01
63,63,0,0,300060,00000000,c9,00,01
64,64,0,0,300060,00000000,c9,00,01
65,65,0,0,300060,00000000,c9,00,01
66,66,0,0,300060,00000000,c9,00,01
67,67,0,0,300060,00000000,c9,00,01
68,68,0,0,300060,00000000,c9,00,01
69,69,0,0,300060,00000000,c9,00,01
70,70,0,0,300060,00000000,c9,00,01
71,71,0,0,300060,00000000,c9,00,01
72,72,0,0,300060,00000000,c9,00,01
73,73,0,0,300060,00000000,c9,00,01
74,74,0,0,300060,00000000,c9,00,01
75,75,0,0,300060,00000000,c9,00,01
76,76,0,0,300060,00000000,c9,00,01
77,77,0,0,300060,00000000,c9,00,01
78,78,0,0,300060,00000000,c9,00,01
79,79,0,0,300060,00000000,c9,00,01
80,80,0,0,300060,00000000,c9,00,01
81,81,0,0,300060,00000000,c9,00,01
82,82,0,0,300060,00000000,c9,00,01
83,83,0,0,300060,00000000,c9,00,01
84,84,0,0,300060,00000000,c9,00,01
85,85,0,0,300060,00000000,c9,00,01
86,86,0,0,300060,00000000,c9,00,01
87,87,0,0,300060,00000000,c9,00,01
88,88,0,0,300060,00000000,c9,00,01
89,89,0,0,300060,00000000,c9,00,01
90,90,0,0,300060,00000000,c9,00,01
91,91,0,0,300060,00000000,c9,00,01
92,92,0,0,300060,00000000,c9,00,01
93,93,0,0,300060,00000000,c9,00,01
94,94,0,0,300060,00000000,c9,00,01
95,95,0,0,300060,00000000,c9,00,01
96,96,0,0,300060,00000000,c9,00,01
97,97,0,0,300060,00000000,c9,00,01
98,98,0,0,300060,00000000,c9,00,01
99,99,0,0,300060,00000000,c9,00,01
100,100,0,0,300060,00000000,c9,00,01
101,101,0,0,300060,00000000,c9,00,01
102,102,0,0,300060,00000000,c9,00,01
103,103,0,0,300060,00000000,c9,00,01
104,104,0,0,300060,00000000,c9,00,01
105,105,0,0,300060,00000000,c9,00,01
106,106,0,0,300060,00000000,c9,00,01
107,107,0,0,300060,00000000,c9,00,01
108,108,0,0,300060,00000000,c9,00,01
109,109,0,0,300060,00000000,c9,00,01
110,110,0,0,300060,00000000,c9,00,01
111,111,0,0,300060,00000000,c9,00,01
112,112,0,0,300060,00000000,c9,00,01
113,113,0,0,300060,00000000,c9,00,01
114,114,0,0,300060,00000000,c9,00,01
115,115,0,0,300060,00000000,c9,00,01
116,116,0,0,300060,00000000,c9,00,01
117,117,0,0,300060,00000000,c9,00,01
118,118,0,0,300060,00000000,c9,00,01
119,119,0,0,300060,00000000,c9,00,01
120,120,0,0,300060,00000000,c9,00,01
121,121,0,0,300060,00000000,c9,00,01
122,122,0,0,300060,00000000,c9,00,01
123,123,0,0,300060,00000000,c9,00,01
124,124,0,0,300060,00000000,c9,00,01
125,125,0,0,300060,00000000,c9,00,01
126,126,0,0,300060,00000000,c9,00,01
127,127,0,0,300060,00000000,c9,00,01
128,128,0,0,300060,00000000,c9,00,01
129,129,0,0,300060,00000000,c9,00,01
130,130,0,0,300060,00000000,c9,00,01
