Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address_1[23:0],u_ndpp_wrapper/user_logic_native_mem_address[31:24],u_ndpp_wrapper/user_logic_native_mem_strb[23:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_out[7:0],u_ndpp_wrapper/dma_p0_rx_axis_tvalid_temp,u_ndpp_wrapper/dma_p0_rx_axis_tdata[7:0],u_ndpp_wrapper/dma_p0_rx_axis_tready_temp
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,320040,00,000000,03,00,00,0,00,1
1,1,1,1,300040,00,ffffff,00,00,00,0,00,1
2,2,0,1,300060,00,ffffff,00,00,00,0,00,1
3,3,0,0,300080,00,000000,00,00,00,0,00,1
4,4,0,0,3000a0,00,000000,00,00,00,0,00,1
5,5,0,1,300000,00,ffffff,00,00,00,0,00,1
6,6,0,1,300020,00,ffffff,00,00,00,0,00,1
7,7,0,0,300040,00,000000,00,00,00,0,00,1
8,8,0,0,300060,00,000000,00,00,00,0,00,1
9,9,0,1,3000c0,00,ffffff,00,00,00,0,00,1
10,10,0,1,3000e0,00,ffffff,00,00,00,0,00,1
11,11,0,0,300100,00,000000,00,00,00,0,00,1
12,12,0,0,300120,00,000000,00,00,00,0,00,1
13,13,0,1,300080,00,ffffff,00,00,00,0,00,1
14,14,0,1,3000a0,00,ffffff,00,00,00,0,00,1
15,15,0,0,3000c0,00,000000,00,00,00,0,00,1
16,16,0,0,3000e0,00,000000,02,00,00,0,00,1
17,17,0,1,300200,00,ffffff,02,00,00,0,00,1
18,18,0,1,300220,00,ffffff,02,00,00,0,00,1
19,19,0,0,300240,00,000000,00,00,00,0,00,1
20,20,0,0,300260,00,000000,02,00,00,0,00,1
21,21,0,1,300240,00,ffffff,02,00,00,0,00,1
22,22,0,1,300260,00,ffffff,02,00,00,0,00,1
23,23,0,0,300280,00,000000,00,00,00,0,00,1
24,24,0,0,3002a0,00,000000,01,00,00,0,00,1
25,25,0,1,3001c0,00,ffffff,01,00,00,0,00,1
26,26,0,1,3001e0,00,ffffff,01,00,00,0,00,1
27,27,0,0,300200,00,000000,00,00,00,0,00,1
28,28,0,0,300220,00,000000,02,00,00,0,00,1
29,29,0,1,3002c0,00,ffffff,02,00,00,0,00,1
30,30,0,1,3002e0,00,ffffff,02,00,00,0,00,1
31,31,0,0,300300,00,000000,00,00,00,0,00,1
32,32,0,0,300320,00,000000,02,00,00,0,00,1
33,33,0,1,300280,00,ffffff,02,00,00,0,00,1
34,34,0,1,3002a0,00,ffffff,02,00,00,0,00,1
35,35,0,0,3002c0,00,000000,00,00,00,0,00,1
36,36,0,0,3002e0,00,000000,03,00,00,0,00,1
37,37,0,1,3003c0,00,ffffff,03,00,00,0,00,1
38,38,0,1,3003e0,00,ffffff,03,00,00,0,00,1
39,39,0,0,300400,00,000000,00,00,00,0,00,1
40,40,0,0,300420,00,000000,01,00,00,0,00,1
41,41,0,1,300140,00,ffffff,01,00,00,0,00,1
42,42,0,1,300160,00,ffffff,01,00,00,0,00,1
43,43,0,0,300180,00,000000,00,00,00,0,00,1
44,44,0,0,3001a0,00,000000,03,00,00,0,00,1
45,45,0,1,300340,00,ffffff,03,00,00,0,00,1
46,46,0,1,300360,00,ffffff,03,00,00,0,00,1
47,47,0,0,300380,00,000000,00,00,00,0,00,1
48,48,0,0,3003a0,00,000000,04,00,00,0,00,1
49,49,0,1,300400,00,ffffff,04,00,00,0,00,1
50,50,0,1,300420,00,ffffff,04,00,00,0,00,1
51,51,0,0,300440,00,000000,00,00,00,0,00,1
52,52,0,0,300460,00,000000,04,00,00,0,00,1
53,53,0,1,300480,00,ffffff,04,00,00,0,00,1
54,54,0,1,3004a0,00,ffffff,04,00,00,0,00,1
55,55,0,0,3004c0,00,000000,00,00,00,0,00,1
56,56,0,0,3004e0,00,000000,04,00,00,0,00,1
57,57,0,1,300440,00,ffffff,04,00,00,0,00,1
58,58,0,1,300460,00,ffffff,04,00,00,0,00,1
59,59,0,0,300480,00,000000,00,00,00,0,00,1
60,60,0,0,3004a0,00,000000,04,00,00,0,00,1
61,61,0,1,3004c0,00,ffffff,04,00,00,0,00,1
62,62,0,1,3004e0,00,ffffff,04,00,00,0,00,1
63,63,0,0,300500,00,000000,00,00,00,0,00,1
64,64,0,0,300520,00,000000,05,00,00,0,00,1
65,65,0,1,300500,00,ffffff,05,00,00,0,00,1
66,66,0,1,300520,00,ffffff,05,00,00,0,00,1
67,67,0,0,300540,00,000000,00,00,00,0,00,1
68,68,0,0,300560,00,000000,05,00,00,0,00,1
69,69,0,1,300580,00,ffffff,05,00,00,0,00,1
70,70,0,1,3005a0,00,ffffff,05,00,00,0,00,1
71,71,0,0,3005c0,00,000000,00,00,00,0,00,1
72,72,0,0,3005e0,00,000000,06,00,00,0,00,1
73,73,0,1,300600,00,ffffff,06,00,00,0,00,1
74,74,0,1,300620,00,ffffff,06,00,00,0,00,1
75,75,0,0,300640,00,000000,00,00,00,0,00,1
76,76,0,0,300660,00,000000,06,00,00,0,00,1
77,77,0,1,300640,00,ffffff,06,00,00,0,00,1
78,78,0,1,300660,00,ffffff,06,00,00,0,00,1
79,79,0,0,300680,00,000000,00,00,00,0,00,1
80,80,0,0,3006a0,00,000000,06,00,00,0,00,1
81,81,0,1,300680,00,ffffff,06,00,00,0,00,1
82,82,0,1,3006a0,00,ffffff,06,00,00,0,00,1
83,83,0,0,3006c0,00,000000,00,00,00,0,00,1
84,84,0,0,3006e0,00,000000,06,00,00,0,00,1
85,85,0,1,3006c0,00,ffffff,06,00,00,0,00,1
86,86,0,1,3006e0,00,ffffff,06,00,00,0,00,1
87,87,0,0,300700,00,000000,00,00,00,0,00,1
88,88,0,0,300720,00,000000,07,00,00,0,00,1
89,89,0,1,300700,00,ffffff,07,00,00,0,00,1
90,90,0,1,300720,00,ffffff,07,00,00,0,00,1
91,91,0,0,300740,00,000000,00,00,00,0,00,1
92,92,0,0,300760,00,000000,07,00,00,0,00,1
93,93,0,1,300780,00,ffffff,07,00,00,0,00,1
94,94,0,1,3007a0,00,ffffff,07,00,00,0,00,1
95,95,0,0,3007c0,00,000000,00,00,00,0,00,1
96,96,0,0,3007e0,00,000000,03,00,00,0,00,1
97,97,0,1,300300,00,ffffff,03,00,00,0,00,1
98,98,0,1,300320,00,ffffff,03,00,00,0,00,1
99,99,0,0,300340,00,000000,00,00,00,0,00,1
100,100,0,0,300360,00,000000,01,00,00,0,00,1
101,101,0,1,300100,00,ffffff,01,00,00,0,00,1
102,102,0,1,300120,00,ffffff,01,00,00,0,00,1
103,103,0,0,300140,00,000000,00,00,00,0,00,1
104,104,0,0,300160,00,000000,01,00,00,0,00,1
105,105,0,1,300180,00,ffffff,01,00,00,0,00,1
106,106,0,1,3001a0,00,ffffff,01,00,00,0,00,1
107,107,0,0,3001c0,00,000000,00,00,00,0,00,1
108,108,0,0,3001e0,00,000000,0c,00,00,0,00,1
109,109,0,1,300c00,00,ffffff,0c,00,00,0,00,1
110,110,0,1,300c20,00,ffffff,0c,00,00,0,00,1
111,111,0,0,300c40,00,000000,00,00,00,0,00,1
112,112,0,0,300c60,00,000000,03,00,00,0,00,1
113,113,0,1,300380,00,ffffff,03,00,00,0,00,1
114,114,0,1,3003a0,00,ffffff,03,00,00,0,00,1
115,115,0,0,3003c0,00,000000,00,00,00,0,00,1
116,116,0,0,3003e0,00,000000,08,00,00,0,00,1
117,117,0,1,300800,00,ffffff,08,00,00,0,00,1
118,118,0,1,300820,00,ffffff,08,00,00,0,00,1
119,119,0,0,300840,00,000000,00,00,00,0,00,1
120,120,0,0,300860,00,000000,05,00,00,0,00,1
121,121,0,1,3005c0,00,ffffff,05,00,00,0,00,1
122,122,0,1,3005e0,00,ffffff,05,00,00,0,00,1
123,123,0,0,300600,00,000000,00,00,00,0,00,1
124,124,0,0,300620,00,000000,0a,00,00,0,00,1
125,125,0,1,300a80,00,ffffff,0a,00,00,0,00,1
126,126,0,1,300aa0,00,ffffff,0a,00,00,0,00,1
127,127,0,0,300ac0,00,000000,00,00,00,0,00,1
128,128,0,0,300ae0,00,000000,07,00,00,0,00,1
129,129,0,1,300740,00,ffffff,07,00,00,0,00,1
130,130,0,1,300760,00,ffffff,07,00,00,0,00,1
131,131,0,0,300780,00,000000,00,00,00,0,00,1
132,132,0,0,3007a0,00,000000,08,00,00,0,00,1
133,133,0,1,3008c0,00,ffffff,08,00,00,0,00,1
134,134,0,1,3008e0,00,ffffff,08,00,00,0,00,1
135,135,0,0,300900,00,000000,00,00,00,0,00,1
136,136,0,0,300920,00,000000,08,00,00,0,00,1
137,137,0,1,300840,00,ffffff,08,00,00,0,00,1
138,138,0,1,300860,00,ffffff,08,00,00,0,00,1
139,139,0,0,300880,00,000000,00,00,00,0,00,1
140,140,0,0,3008a0,00,000000,08,00,00,0,00,1
141,141,0,1,300880,00,ffffff,08,00,00,0,00,1
142,142,0,1,3008a0,00,ffffff,08,00,00,0,00,1
143,143,0,0,3008c0,00,000000,00,00,00,0,00,1
144,144,0,0,3008e0,00,000000,09,00,00,0,00,1
145,145,0,1,300980,00,ffffff,09,00,00,0,00,1
146,146,0,1,3009a0,00,ffffff,09,00,00,0,00,1
147,147,0,0,3009c0,00,000000,00,00,00,0,00,1
148,148,0,0,3009e0,00,000000,09,00,00,0,00,1
149,149,0,1,3009c0,00,ffffff,09,00,00,0,00,1
150,150,0,1,3009e0,00,ffffff,09,00,00,0,00,1
151,151,0,0,300a00,00,000000,00,00,00,0,00,1
152,152,0,0,300a20,00,000000,09,00,00,0,00,1
153,153,0,1,300940,00,ffffff,09,00,00,0,00,1
154,154,0,1,300960,00,ffffff,09,00,00,0,00,1
155,155,0,0,300980,00,000000,00,00,00,0,00,1
156,156,0,0,3009a0,00,000000,0c,00,00,0,00,1
157,157,0,1,300c80,00,ffffff,0c,00,00,0,00,1
158,158,0,1,300ca0,00,ffffff,0c,00,00,0,00,1
159,159,0,0,300cc0,00,000000,00,00,00,0,00,1
160,160,0,0,300ce0,00,000000,0c,00,00,0,00,1
161,161,0,1,300c40,00,ffffff,0c,00,00,0,00,1
162,162,0,1,300c60,00,ffffff,0c,00,00,0,00,1
163,163,0,0,300c80,00,000000,00,00,00,0,00,1
164,164,0,0,300ca0,00,000000,0d,00,00,0,00,1
165,165,0,1,300d00,00,ffffff,0d,00,00,0,00,1
166,166,0,1,300d20,00,ffffff,0d,00,00,0,00,1
167,167,0,0,300d40,00,000000,00,00,00,0,00,1
168,168,0,0,300d60,00,000000,0e,00,00,0,00,1
169,169,0,1,300e00,00,ffffff,0e,00,00,0,00,1
170,170,0,1,300e20,00,ffffff,0e,00,00,0,00,1
171,171,0,0,300e40,00,000000,00,00,00,0,00,1
172,172,0,0,300e60,00,000000,0c,00,00,0,00,1
173,173,0,1,300cc0,00,ffffff,0c,00,00,0,00,1
174,174,0,1,300ce0,00,ffffff,0c,00,00,0,00,1
175,175,0,0,300d00,00,000000,00,00,00,0,00,1
176,176,0,0,300d20,00,000000,0d,00,00,0,00,1
177,177,0,1,300d80,00,ffffff,0d,00,00,0,00,1
178,178,0,1,300da0,00,ffffff,0d,00,00,0,00,1
179,179,0,0,300dc0,00,000000,00,00,00,0,00,1
180,180,0,0,300de0,00,000000,0a,00,00,0,00,1
181,181,0,1,300ac0,00,ffffff,0a,00,00,0,00,1
182,182,0,1,300ae0,00,ffffff,0a,00,00,0,00,1
